location,vaccine,year,total_vaccinations
Argentina,CanSino,2021,12957439
Argentina,CanSino,2022,260415458
Argentina,CanSino,2023,17802697
Argentina,Moderna,2021,428211017
Argentina,Moderna,2022,3635398466
Argentina,Moderna,2023,6520891456
Argentina,Moderna,2024,221617750
Argentina,Oxford/AstraZeneca,2020,1
Argentina,Oxford/AstraZeneca,2021,3373813128
Argentina,Oxford/AstraZeneca,2022,8365020647
Argentina,Oxford/AstraZeneca,2023,1285549030
Argentina,Pfizer/BioNTech,2021,283975296
Argentina,Pfizer/BioNTech,2022,6145642121
Argentina,Pfizer/BioNTech,2023,7263678991
Argentina,Pfizer/BioNTech,2024,227637620
Argentina,Sinopharm/Beijing,2020,1
Argentina,Sinopharm/Beijing,2021,3304063437
Argentina,Sinopharm/Beijing,2022,10379504998
Argentina,Sinopharm/Beijing,2023,7184637387
Argentina,Sputnik Light,2023,3036848
Argentina,Sputnik V,2020,104489
Argentina,Sputnik V,2021,3353564073
Argentina,Sputnik V,2022,6804413645
Argentina,Sputnik V,2023,1204006734
Austria,Johnson&Johnson,2021,8368942
Austria,Johnson&Johnson,2022,19133030
Austria,Johnson&Johnson,2023,3685367
Austria,Moderna,2021,35736724
Austria,Moderna,2022,84153583
Austria,Moderna,2023,43295754
Austria,Novavax,2021,0
Austria,Novavax,2022,492190
Austria,Novavax,2023,389357
Austria,Oxford/AstraZeneca,2021,54819147
Austria,Oxford/AstraZeneca,2022,73283129
Austria,Oxford/AstraZeneca,2023,20712187
Austria,Pfizer/BioNTech,2021,285900643
Austria,Pfizer/BioNTech,2022,794034737
Austria,Pfizer/BioNTech,2023,436539208
Austria,Sanofi/GSK,2021,0
Austria,Sanofi/GSK,2022,70
Austria,Sanofi/GSK,2023,5620
Austria,Valneva,2021,0
Austria,Valneva,2022,21906
Austria,Valneva,2023,55094
Belgium,Johnson&Johnson,2021,11151618
Belgium,Johnson&Johnson,2022,22261962
Belgium,Johnson&Johnson,2023,6000947
Belgium,Moderna,2021,45122938
Belgium,Moderna,2022,221719974
Belgium,Moderna,2023,92175641
Belgium,Novavax,2021,0
Belgium,Novavax,2022,85956
Belgium,Novavax,2023,25498
Belgium,Oxford/AstraZeneca,2021,91570117
Belgium,Oxford/AstraZeneca,2022,85477208
Belgium,Oxford/AstraZeneca,2023,2849295
Belgium,Pfizer/BioNTech,2021,394556569
Belgium,Pfizer/BioNTech,2022,976866345
Belgium,Pfizer/BioNTech,2023,767945515
Bulgaria,Johnson&Johnson,2021,6487098
Bulgaria,Johnson&Johnson,2022,26967199
Bulgaria,Johnson&Johnson,2023,16462684
Bulgaria,Moderna,2021,10367603
Bulgaria,Moderna,2022,25883830
Bulgaria,Moderna,2023,9726691
Bulgaria,Oxford/AstraZeneca,2021,13950183
Bulgaria,Oxford/AstraZeneca,2022,4785214
Bulgaria,Pfizer/BioNTech,2021,53030653
Bulgaria,Pfizer/BioNTech,2022,152247996
Bulgaria,Pfizer/BioNTech,2023,108236154
Canada,Johnson&Johnson,2021,43359
Canada,Johnson&Johnson,2022,482344
Canada,Medicago,2022,2246
Canada,Moderna,2021,401735677
Canada,Moderna,2022,577002687
Canada,Novavax,2022,171656
Canada,Oxford/AstraZeneca,2021,81772102
Canada,Oxford/AstraZeneca,2022,61846506
