location,year,age_group,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Argentina,2020,0-17,0.0,0.0,0.0
Argentina,2020,18-64,1.76,0.0,0.0
Argentina,2020,65+,0.0,0.0,0.0
Argentina,2021,0-17,10225.68,3477.82,4.11
Argentina,2021,18-64,94691.42,52587.72,961.6899999999999
Argentina,2021,65+,101003.33,63241.7,2174.66
Argentina,2022,0-17,62667.840000000004,46118.03,11853.06
Argentina,2022,18-64,179628.98,152621.04,117729.41
Argentina,2022,65+,140737.91,123198.23,118109.09
Argentina,2023,0-17,64443.5,48556.92,20914.14
Argentina,2023,18-64,180349.63,153754.44,175477.1
Argentina,2023,65+,141422.36000000002,123749.19,190569.91
Argentina,2024,0-17,2298.03,1731.86,765.06
Argentina,2024,18-64,6425.28,5477.42,6411.15
Argentina,2024,65+,5040.61,4407.78,7073.52
Australia,2021,0-17,15296.34,10546.35,0.0
Australia,2021,18-64,66291.78,47231.06,0.0
Australia,2021,65+,57769.98,39058.66,0.0
Australia,2022,0-17,37536.42,34976.95,0.0
Australia,2022,18-64,95005.6,93309.38,0.0
Australia,2022,65+,78617.66,76860.52,0.0
Australia,2023,0-17,957.61,916.41,0.0
Australia,2023,18-64,2701.61,2660.86,0.0
Australia,2023,65+,1864.25,1846.94,0.0
Austria,2021,0-17,2214.33,1613.24,41.150000000000006
Austria,2021,18-64,10094.09,8098.89,1054.84
Austria,2021,65+,7368.57,6311.74,1206.72
Austria,2022,0-17,7918.2,7301.29,2662.26
Austria,2022,18-64,17698.89,17125.45,13727.35
Austria,2022,65+,10048.46,9850.39,8847.66
Austria,2023,0-17,4019.6,3752.4100000000003,1690.73
Austria,2023,18-64,8874.8,8605.1,7106.32
Austria,2023,65+,5031.7300000000005,4939.2,4523.8
Belgium,2021,0-17,424.26,347.85,0.56
Belgium,2021,18-64,11233.8,9331.84,669.86
Belgium,2021,65+,8652.69,7189.24,1534.67
Belgium,2022,0-17,1644.15,1560.52,205.46
Belgium,2022,18-64,18628.2,18467.45,14886.68
Belgium,2022,65+,11338.92,11233.88,10522.65
Belgium,2023,0-17,1133.65,1100.66,168.9
Belgium,2023,18-64,12551.7,12445.99,10290.9
Belgium,2023,65+,7636.65,7565.599999999999,7130.8099999999995
Bulgaria,2021,0-17,24.21,19.01,0.0
Bulgaria,2021,18-64,3354.18,2862.93,79.49
Bulgaria,2021,65+,1904.18,1598.63,75.9
Bulgaria,2022,0-17,118.45,113.52,4.69
Bulgaria,2022,18-64,7457.04,7342.25,2383.43
Bulgaria,2022,65+,3470.24,3418.75,2141.11
Bulgaria,2023,0-17,84.17,81.82,6.3
Bulgaria,2023,18-64,5068.71,5002.82,1793.09
Bulgaria,2023,65+,2350.13,2323.23,1557.78
Canada,2020,0-17,0.0,0.0,0.0
Canada,2020,18-64,0.19,0.0,0.0
Canada,2020,65+,0.15,0.0,0.0
Canada,2021,0-17,2523.7400000000002,1772.3,0.49
Canada,2021,18-64,14036.94,10320.83,116.53999999999999
Canada,2021,65+,7192.35,5303.22,183.03
Canada,2022,0-17,3696.55,2981.63,306.18
Canada,2022,18-64,11408.79,10621.16,6107.83
Canada,2022,65+,4937.19,4621.47,4046.15
Canada,2023,0-17,455.99,393.52,83.83
Canada,2023,18-64,1366.21,1046.77,855.01
Canada,2023,65+,614.21,457.73,552.87
Croatia,2021,0-17,332.51,219.41,0.56
Croatia,2021,18-64,7325.17,5872.09,207.78
Croatia,2021,65+,5402.39,4393.99,378.51
Croatia,2022,0-17,1361.25,1205.23,41.44
Croatia,2022,18-64,13766.66,13295.37,4692.67
Croatia,2022,65+,7718.5,7580.16,5134.92
Croatia,2023,0-17,928.38,832.76,35.24
Croatia,2023,18-64,9293.01,8989.1,3437.14
Croatia,2023,65+,5206.83,5113.129999999999,3937.88
Cyprus,2021,0-17,1321.91,1041.79,0.25
Cyprus,2021,18-64,10172.63,8668.12,689.89
Cyprus,2021,65+,8221.2,6969.93,1344.73
Cyprus,2022,0-17,5300.91,5091.64,140.99
Cyprus,2022,18-64,17653.05,17382.11,12838.56
Cyprus,2022,65+,10075.98,9827.74,9141.0
Cyprus,2023,0-17,3549.22,3416.33,149.52
Cyprus,2023,18-64,11619.17,11416.81,8743.51
Cyprus,2023,65+,6591.23,6431.43,6050.04
Czechia,2021,0-17,1709.29,1345.16,0.8400000000000001
Czechia,2021,18-64,8699.77,7177.14,379.75
Czechia,2021,65+,7267.56,6198.69,838.19
Czechia,2022,0-17,5292.88,5098.37,854.81
Czechia,2022,18-64,15448.26,15265.82,8966.82
Czechia,2022,65+,9493.63,9369.58,7880.34
Czechia,2023,0-17,3141.5699999999997,3057.39,648.91
Czechia,2023,18-64,9527.07,9422.92,5821.46
Czechia,2023,65+,5847.63,5772.79,4941.26
Denmark,2021,0-17,2191.3,1627.14,0.5700000000000001
Denmark,2021,18-64,11125.72,9224.28,760.03
Denmark,2021,65+,8352.5,7587.35,1315.21
Denmark,2022,0-17,8708.45,7956.76,28.86
Denmark,2022,18-64,18846.69,18805.06,15053.52
Denmark,2022,65+,10836.06,10821.01,10626.85
Denmark,2023,0-17,1541.91,1452.53,8.479999999999999
Denmark,2023,18-64,5079.2300000000005,5070.7,4141.29
Denmark,2023,65+,2918.64,2914.52,2877.67
Estonia,2021,0-17,285.9,216.59,10.9
Estonia,2021,18-64,8805.59,7388.85,833.5
Estonia,2021,65+,6483.16,5549.16,906.85
Estonia,2022,0-17,882.08,855.6,75.19
Estonia,2022,18-64,15262.09,15220.16,8075.95
Estonia,2022,65+,8934.6,8843.44,6645.73
Estonia,2023,0-17,602.81,590.97,64.43
Estonia,2023,18-64,10305.56,10287.36,5784.29
Estonia,2023,65+,6027.88,5968.9800000000005,4603.2699999999995
Finland,2021,0-17,2810.48,1485.84,1.9
Finland,2021,18-64,11166.18,7101.56,285.1
Finland,2021,65+,8085.7,5778.83,667.42
Finland,2022,0-17,9396.3,7698.76,337.67
Finland,2022,18-64,18719.74,18100.03,12187.99
Finland,2022,65+,10038.83,10037.27,9487.12
Finland,2023,0-17,6439.16,5402.51,334.57
Finland,2023,18-64,12631.22,12238.6,8742.27
Finland,2023,65+,6768.44,6781.2,6602.099999999999
France,2021,0-17,611.09,441.59,1.9300000000000002
France,2021,18-64,11157.51,8145.1,673.06
France,2021,65+,7187.34,5948.62,1151.54
France,2022,0-17,1638.22,1429.24,292.47
France,2022,18-64,19633.08,18700.06,14951.48
France,2022,65+,9586.79,9373.83,8475.86
France,2023,0-17,859.39,756.34,179.06
France,2023,18-64,10227.65,9780.86,8054.4800000000005
France,2023,65+,4987.9,4883.0199999999995,4509.64
Hong Kong,2021,0-17,4057.35,2921.6,1.92
Hong Kong,2021,18-64,71703.55,61552.88,794.07
Hong Kong,2021,65+,11095.7,9257.17,326.9
Hong Kong,2022,0-17,22483.18,18392.05,6509.87
Hong Kong,2022,18-64,171572.92,165659.58,108697.65
Hong Kong,2022,65+,53207.23,48573.62,32423.39
Hong Kong,2023,0-17,16434.12,15314.14,8996.9
Hong Kong,2023,18-64,108488.72,107517.76,95475.81
Hong Kong,2023,65+,36817.26,36285.77,34538.92
Hungary,2021,0-17,486.40999999999997,395.56,1.38
Hungary,2021,18-64,10126.64,8561.95,1247.76
Hungary,2021,65+,6813.62,5961.88,1576.07
Hungary,2022,0-17,1315.35,1241.33,157.16
Hungary,2022,18-64,14895.03,14349.2,9048.51
Hungary,2022,65+,8525.28,8407.1,7149.42
Hungary,2023,0-17,870.38,830.14,111.52
Hungary,2023,18-64,9761.57,9406.89,6017.54
Hungary,2023,65+,5578.94,5502.36,4709.599999999999
Iceland,2021,0-17,3094.29,2549.16,83.87
Iceland,2021,18-64,12455.92,10842.89,2292.1
Iceland,2021,65+,9154.68,8007.6,2347.12
Iceland,2022,0-17,11375.88,9618.96,1866.26
Iceland,2022,18-64,19124.27,18951.39,17679.69
Iceland,2022,65+,10970.77,10896.91,9978.55
Iceland,2023,0-17,3337.66,2883.23,564.0699999999999
Iceland,2023,18-64,5522.38,5473.21,5204.88
Iceland,2023,65+,3167.1,3145.4700000000003,2917.35
Ireland,2021,0-17,1959.51,1560.96,8.59
Ireland,2021,18-64,11873.21,9906.59,804.5699999999999
Ireland,2021,65+,9942.07,8803.0,1810.76
Ireland,2022,0-17,7657.1,7246.7300000000005,1624.97
Ireland,2022,18-64,19804.3,19632.4,14920.38
Ireland,2022,65+,12543.57,12455.06,11526.38
Ireland,2023,0-17,5123.2699999999995,4963.19,1392.74
Ireland,2023,18-64,13349.45,13238.31,10524.74
Ireland,2023,65+,8449.44,8385.91,7980.21
Israel,2021,0-17,20063.3,16503.8,3545.5
Israel,2021,18-64,140407.2,125337.8,36884.5
Israel,2021,65+,95639.2,89738.7,32516.7
Israel,2022,0-17,16254.0,13402.1,5259.8
Israel,2022,18-64,40830.6,38089.6,30193.4
Israel,2022,65+,24198.6,23637.5,22214.9
Italy,2021,0-17,565.9,417.13,0.82
Italy,2021,18-64,10634.89,8357.789999999999,530.31
Italy,2021,65+,7269.61,6072.16,815.45
Italy,2022,0-17,2366.77,2479.6,945.97
Italy,2022,18-64,19224.16,18521.66,16901.61
Italy,2022,65+,10127.92,9841.65,9414.24
Italy,2023,0-17,1621.67,1753.9099999999999,715.8000000000001
Italy,2023,18-64,12970.62,12556.550000000001,12043.05
Italy,2023,65+,6831.08,6657.92,6533.66
Japan,2021,18-69,12549.29,10283.41,14.84
Japan,2021,65+,17846.73,15786.92,3.19
Japan,2022,0-17,5409.83,4702.56,412.63
Japan,2022,18-69,32422.97,31829.08,17306.16
Japan,2022,65+,33560.57,33471.39,27832.26
Japan,2023,0-17,3308.58,3146.14,1217.78
Japan,2023,18-69,11347.76,11153.92,8595.0
Japan,2023,65+,11694.57,11666.75,11515.16
Jersey,2021,0-17,2553.0,270.0,33.0
Jersey,2021,18-64,32976.0,28916.0,3739.0
Jersey,2021,65+,26666.0,25808.0,6963.0
Jersey,2022,0-17,7077.36,4583.78,486.43
Jersey,2022,18-64,30520.95,29973.87,23686.91
Jersey,2022,65+,22612.33,22451.47,21687.09
Jersey,2023,0-17,638.0,485.0,55.0
Jersey,2023,18-64,2753.0,2708.0,2179.0
Jersey,2023,65+,2061.0,2055.0,1975.0
Latvia,2021,0-17,1901.8,1536.61,0.27
Latvia,2021,18-64,8034.64,6930.59,233.93
Latvia,2021,65+,4016.51,3297.77,257.33
Latvia,2022,0-17,5954.96,5462.81,66.75
Latvia,2022,18-64,17491.84,17029.42,6608.3
